Date,Account,Item ID,Listing SKU,Order ID,Feedback Type,Feedback Message,AI Category,AI Root Cause,AI Confidence %,Department,Priority,Business Impact,Repeat Item Count,Suggested Action,Owner,Status
2026-07-13,huettenlampen,394976085481,COI9BBM2PK,06-14834-06178,Neutral,"German-language comment: buyer returned the item, saying they had bought it because they misinterpreted the description.","Listing Accuracy - Ambiguous Description","Buyer read the German listing description and formed a wrong expectation of what they were buying; the buyer attributes this to their own misreading, which points to ambiguous rather than incorrect wording.",70,"Listing Content",Low,Low,3,"Review the German listing description for this item for ambiguity - the return was accepted smoothly, so the cost here is the avoidable return, not the service.",Unassigned,Open
2026-07-10,dctransformer,124703922577,24IP20120,15-14841-57662,Neutral,"Unit arrived quickly and works, but the listed length was wrong - stated 13cm, actually 20cm - making installation awkward; buyer kept it but called it not as described.","Listing Accuracy - Incorrect Specification","The length attribute published on the listing does not match the physical product, so buyers size their installation space from a wrong figure.",95,"Listing Content",Medium,Medium,2,"Correct the length specification on this listing and audit the dimension data for the rest of the PSU range - this is a factual data error with a definite fix.",Unassigned,Open
2026-07-08,coventrylights,305890478550,WSFH1BMYB+PSDS2RBR+SCRN70BM+LSFT220YE,04-14786-45454,Neutral,"Buyer is returning the item as too big for the intended spot and not worth the money.","Listing Accuracy - Size and Value Expectation","Buyer did not form an accurate sense of the physical size or value from the listing before ordering; the comment mixes a subjective value judgement with a concrete size mismatch, so the listing-side cause is probable rather than certain.",65,"Listing Content",Low,Low,0,"Check that dimensions and an in-scale image are prominent on this listing - but treat as weak evidence, since part of this is subjective value perception.",Unassigned,Open
2026-07-07,led_sone,164216736348,CO1230ACL,14-14715-73433,Neutral,"Seller could not supply the item and refunded quickly.","Fulfillment Issue - Stock Availability","Item was sold while not actually available to ship, forcing a cancel and refund; the refund was handled well, which is why this landed neutral rather than negative.",80,"Warehouse/Logistics",Medium,Medium,0,"Review inventory sync and stock accuracy - same underlying stock-availability cause as the 2026-07-07 and 2026-06-23 negatives, but here fast refund handling contained the damage.",Unassigned,Open
2026-07-06,led_sone,166225683823,WLHSBMRE12,14-14825-26575,Neutral,"No instructions and no stated 3 year warranty in the box, two people needed to fit it, and only 2 of the 4 grub screws would lock.","Product Quality and Documentation","Three separate gaps on one order: instructions are not packed, the warranty promised on the listing was not evidenced, and grub screw threads failed to engage on half the fixings.",85,"Product/Quality, Listing Content",Medium,Medium,1,"Add instructions to the pack, QA the grub screw thread engagement on this SKU, and verify the 3 year warranty claim on the listing is actually being fulfilled.",Unassigned,Open
2026-07-06,led_sone,167857142024,LSTF400GY+RPR44WH,25-14733-31397,Neutral,"Item was delivered late and arrived damaged.","Shipping Issue - Late and Damaged","Parcel missed its delivery estimate and sustained damage in transit; the comment gives no detail on the nature of the damage, so carrier handling versus packaging adequacy cannot be separated from the text alone.",70,"Warehouse/Logistics",Medium,Medium,0,"Pull the carrier record for this consignment to establish whether this was carrier handling or under-packaging before choosing a fix.",Unassigned,Open
2026-07-02,led_sone,163441967260,CRFF108GB+WSSS70GB+SCRN70GB,19-14785-05167,Neutral,"No instructions in the box and the QR code did not lead to instructions for the actual item; buyer had to cut into the side casing because there is no side wire entry, and criticised the fixings.","Product Design and Documentation","Two design gaps plus a documentation failure: the enclosure offers no side cable entry so the buyer had to modify it, and the scanned QR code resolves to instructions that do not cover this item.",90,"Product/Quality, Listing Content",High,Medium,0,"Escalate to the product team for a side cable entry knockout review, and fix the QR code destination so it resolves to the correct item instructions - the phrase poor fixings as usual suggests a repeat pattern worth checking across the range.",Unassigned,Open
2026-06-27,led_sone,166202407547,CRFF75GB+LHAHE27GB,25-14757-83346,Neutral,"Item arrived in pieces rather than assembled, with extra parts the buyer could not identify.","Listing Accuracy - Assembly Not Disclosed","The listing does not tell buyers the product is supplied flat for self-assembly, and no parts list is included to explain the components in the box.",80,"Listing Content, Product/Quality",Medium,Medium,1,"State self-assembly explicitly on the listing and include a parts list - note this is the same Item ID as the 2026-06-23 neutral with the identical complaint, so two separate buyers hit this.",Unassigned,Open
2026-06-27,led_sone,167997767567,WLHSBMCY18,20-14593-55707,Neutral,"Comment contains only the word Sorry - no complaint is stated.","Unclassifiable - No Detail Given","Cannot be determined; the comment carries no information about what went wrong.",20,"Customer Service",Low,Low,1,"No action can be derived from this text. If this SKU matters, pull the order and any linked return or message thread - do not infer a cause from this row.",Unassigned,Open
2026-06-23,led_sone,166202407547,CRFF75BA+LHAHE27BM+ICST64E27,20-14698-70700,Neutral,"Listing said nothing about self-assembly; buyer called the description poor and said they would not buy again.","Listing Accuracy - Assembly Not Disclosed","The listing omits that the product requires self-assembly, so buyers expect a ready-built item on arrival.",90,"Listing Content",Medium,Medium,1,"Add an explicit self-assembly disclosure to this listing - same Item ID as the 2026-06-27 neutral with the same root cause, making this a confirmed repeat rather than a one-off.",Unassigned,Open
